
Iteration 1 | Loss 0.17329 | Acc 0.6250
Iteration 2 | Loss 0.17329 | Acc 0.4375
Iteration 3 | Loss 0.17329 | Acc 0.2500
Iteration 4 | Loss 0.17329 | Acc 0.3750
Iteration 5 | Loss 0.17329 | Acc 0.8125
Iteration 6 | Loss 0.17329 | Acc 0.5000
Iteration 7 | Loss 0.17329 | Acc 0.5625
Iteration 8 | Loss 0.17329 | Acc 0.4375
Iteration 9 | Loss 0.17329 | Acc 0.8125
Iteration 10 | Loss 0.17329 | Acc 0.4375
Iteration 11 | Loss 0.17329 | Acc 0.5625
Iteration 12 | Loss 0.17329 | Acc 0.3750
Iteration 13 | Loss 0.17329 | Acc 0.6875
Iteration 14 | Loss 0.17329 | Acc 0.4375
Iteration 15 | Loss 0.17329 | Acc 0.2500
Iteration 16 | Loss 0.17329 | Acc 0.4375
Iteration 17 | Loss 0.17329 | Acc 0.4375
Iteration 18 | Loss 0.17329 | Acc 0.3750
Iteration 19 | Loss 0.17329 | Acc 0.5000
Iteration 20 | Loss 0.17329 | Acc 0.5625
Iteration 21 | Loss 0.17329 | Acc 0.8750
Iteration 22 | Loss 0.17329 | Acc 0.6250
Iteration 23 | Loss 0.17329 | Acc 0.6250
Iteration 24 | Loss 0.17329 | Acc 0.6875
Iteration 25 | Loss 0.17329 | Acc 0.3125
Iteration 26 | Loss 0.17329 | Acc 0.4375
Iteration 27 | Loss 0.17329 | Acc 0.6250
Iteration 28 | Loss 0.17329 | Acc 0.3750
Iteration 29 | Loss 0.17329 | Acc 0.3750
Iteration 30 | Loss 0.17329 | Acc 0.4375
Iteration 31 | Loss 0.17329 | Acc 0.5000
Iteration 32 | Loss 0.17329 | Acc 0.6875
Iteration 33 | Loss 0.17329 | Acc 0.5625
Iteration 34 | Loss 0.17329 | Acc 0.5625
Iteration 35 | Loss 0.17329 | Acc 0.5000
Iteration 36 | Loss 0.17329 | Acc 0.5000
Iteration 37 | Loss 0.17329 | Acc 0.3750
Iteration 38 | Loss 0.17329 | Acc 0.3750
Iteration 39 | Loss 0.17329 | Acc 0.5625
Iteration 40 | Loss 0.17329 | Acc 0.5625
Iteration 41 | Loss 0.17329 | Acc 0.3750
